Ticker,TradeDate,TotalReturnPct,SaleDate,Lastname,District,Party
ksu,06-06-2012,4.444965935,3-17-2025,Lowenthal,CA47,democrat
cat,07-26-2012,4.122809124,3-17-2025,Duckworth,IL08,democrat
abbv,01-02-2013,6.023633257,3-17-2025,Duckworth,IL08,democrat
kmi,01-15-2013,0.720412595,3-17-2025,ORourke,TX16,democrat
pnc,01-30-2013,2.731154966,3-17-2025,Sessions,TX32,republican
aapl,04-19-2013,15.36702509,3-17-2025,Sessions,TX32,republican
ibm,04-22-2013,1.308630144,3-17-2025,Sessions,TX32,republican
wll,05-02-2013,1.308630144,3-17-2025,Sessions,TX32,republican
key,05-10-2013,1.470873786,3-17-2025,Sessions,TX32,republican
gis,05-30-2013,1.272784281,3-17-2025,Sessions,TX32,republican
bce,05-31-2013,0.545210385,3-17-2025,Sessions,TX32,republican
de,07-01-2013,5.941704587,3-17-2025,Conaway,TX11,republican
de,07-01-2013,5.941704587,3-17-2025,Conaway,TX11,republican
msft,07-19-2013,12.458917197,3-17-2025,Scott,GA08,republican
emr,07-26-2013,1.826086957,3-17-2025,Conaway,TX11,republican
bbl,07-26-2013,1.213920938,3-17-2025,Conaway,TX11,republican
emr,07-26-2013,1.826086957,3-17-2025,Conaway,TX11,republican
bbl,07-26-2013,1.213920938,3-17-2025,Conaway,TX11,republican
cdns,08-16-2013,17.881002088,3-17-2025,Sessions,TX32,republican
c,08-22-2013,1.407132839,3-17-2025,Yarmuth,KY03,democrat
dfs,09-09-2013,3.234899329,3-17-2025,Sessions,TX32,republican
msft,09-15-2013,11.927134146,3-17-2025,Scott,GA08,republican
lea,11-12-2013,1.189264818,3-17-2025,Sessions,TX32,republican
jec,12-11-2013,2.069049271,3-17-2025,Smith,TX21,republican
bwa,12-11-2013,0.523163842,3-17-2025,Smith,TX21,republican
wfc,12-13-2013,1.565515664,3-17-2025,Fitzpatrick,PA08,republican
txn,12-13-2013,4.138259833,3-17-2025,Fitzpatrick,PA08,republican
tkr,12-18-2013,1.938884441,3-17-2025,Gibbs,OH07,republican
v,12-19-2013,6.082006664,3-17-2025,Frankel,FL22,democrat
slb,12-23-2013,0.457283555,3-17-2025,Hanna,NY22,republican
dfs,12-23-2013,2.944465013,3-17-2025,Hanna,NY22,republican
aapl,12-23-2013,10.528978389,3-17-2025,Hanna,NY22,republican
nov,12-24-2013,0.197682634,3-17-2025,Hanna,NY22,republican
fast,12-24-2013,1.641036717,3-17-2025,Smith,TX21,republican
nov,12-26-2013,0.19707001,3-17-2025,Hanna,NY22,republican
apa,12-26-2013,0.220600162,3-17-2025,Hanna,NY22,republican
wmb,12-30-2013,1.462639938,3-17-2025,Flores,TX17,republican
tjx,12-30-2013,3.563171194,3-17-2025,Flores,TX17,republican
tgt,12-30-2013,1.672802945,3-17-2025,Flores,TX17,republican
oke,12-30-2013,1.742452479,3-17-2025,Flores,TX17,republican
msft,12-30-2013,10.491016358,3-17-2025,Flores,TX17,republican
ma,12-30-2013,6.385095404,3-17-2025,Flores,TX17,republican
lmt,12-30-2013,3.184446864,3-17-2025,Flores,TX17,republican
jpm,12-30-2013,4.060051769,3-17-2025,Flores,TX17,republican
jnj,12-30-2013,1.765872156,3-17-2025,Flores,TX17,republican
gis,12-30-2013,1.21877502,3-17-2025,Flores,TX17,republican
lly,12-30-2013,16.147547391,3-17-2025,Flores,TX17,republican
cl,12-30-2013,1.383463243,3-17-2025,Flores,TX17,republican
adp,12-30-2013,4.084774357,3-17-2025,Flores,TX17,republican
aapl,12-30-2013,10.826767677,3-17-2025,Flores,TX17,republican
abt,12-30-2013,3.38167144,3-17-2025,Flores,TX17,republican
mmm,12-30-2013,1.318263704,3-17-2025,Flores,TX17,republican
nov,01-03-2014,0.197125546,3-17-2025,Gibbs,OH07,republican
gis,01-07-2014,1.221464393,3-17-2025,Flores,TX17,republican
aapl,01-07-2014,11.113011923,3-17-2025,Flores,TX17,republican
intu,01-07-2014,7.84648326,3-17-2025,Lowenthal,CA47,democrat
gwre,01-07-2014,3.635068154,3-17-2025,Smith,TX21,republican
intu,01-07-2014,7.84648326,3-17-2025,Lowenthal,CA47,democrat
pep,01-09-2014,1.790464695,3-17-2025,Fitzpatrick,PA08,republican
intc,01-09-2014,1.016199131,3-17-2025,Fitzpatrick,PA08,republican
bwa,01-09-2014,0.493428064,3-17-2025,Smith,TX21,republican
akam,01-09-2014,1.75052499,3-17-2025,Smith,TX21,republican
bwa,01-09-2014,0.493428064,3-17-2025,Smith,TX21,republican
akam,01-09-2014,1.75052499,3-17-2025,Smith,TX21,republican
usb,01-10-2014,0.997562165,3-17-2025,Clark,MA05,democrat
jnj,01-10-2014,1.720392654,3-17-2025,Clark,MA05,democrat
pep,01-10-2014,1.776526946,3-17-2025,Conaway,TX11,republican
aal,01-13-2014,0.372425829,3-17-2025,Conaway,TX11,republican
orcl,01-13-2014,4.113642384,3-17-2025,Conaway,TX11,republican
dal,01-14-2014,1.372071228,3-17-2025,Conaway,TX11,republican
low,01-14-2014,4.553374233,3-17-2025,Smith,TX21,republican
b,01-15-2014,1.199292751,3-17-2025,Gibbs,OH07,republican
intc,01-15-2014,0.964379453,3-17-2025,Grijalva,AZ03,democrat
aa,01-15-2014,1.104186339,3-17-2025,Grijalva,AZ03,democrat
ipgp,01-15-2014,0.801157781,3-17-2025,Smith,TX21,republican
ipgp,01-15-2014,0.801157781,3-17-2025,Smith,TX21,republican
bac,01-16-2014,2.43852459,3-17-2025,Hinojosa,TX15,democrat
bac,01-16-2014,2.43852459,3-17-2025,Hinojosa,TX15,democrat
pru,01-16-2014,1.162461266,3-17-2025,Hinojosa,TX15,democrat
celg,01-17-2014,1.295977011,3-17-2025,Conaway,TX11,republican
srcl,01-22-2014,0.518270758,3-17-2025,Smith,TX21,republican
ffiv,01-22-2014,2.64074682,3-17-2025,Smith,TX21,republican
srcl,01-22-2014,0.518270758,3-17-2025,Smith,TX21,republican
nsc,01-23-2014,2.431027119,3-17-2025,Clark,MA05,democrat
hbi,01-23-2014,0.343470483,3-17-2025,Hinojosa,TX15,democrat
hbi,01-23-2014,0.343470483,3-17-2025,Hinojosa,TX15,democrat
tsla,01-23-2014,19.890909091,3-17-2025,Rahall,WV03,democrat
biib,01-24-2014,0.471014493,3-17-2025,Hinojosa,TX15,democrat
biib,01-24-2014,0.471014493,3-17-2025,Hinojosa,TX15,democrat
cmi,01-24-2014,2.477396881,3-17-2025,Hinojosa,TX15,democrat
biib,01-24-2014,0.471014493,3-17-2025,Hinojosa,TX15,democrat
biib,01-24-2014,0.471014493,3-17-2025,Hinojosa,TX15,democrat
amzn,01-24-2014,10.196078431,3-17-2025,Hinojosa,TX15,democrat
cost,01-27-2014,8.415166743,3-17-2025,Conaway,TX11,republican
ffiv,01-28-2014,2.345726262,3-17-2025,Smith,TX21,republican
ffiv,01-28-2014,2.345726262,3-17-2025,Smith,TX21,republican
orcl,01-29-2014,4.200432783,3-17-2025,Conaway,TX11,republican
bac,01-29-2014,2.497002398,3-17-2025,Grijalva,AZ03,democrat
aapl,01-29-2014,11.989373602,3-17-2025,Grijalva,AZ03,democrat
jwn,01-29-2014,0.457412653,3-17-2025,Sessions,TX32,republican
ba,01-29-2014,1.251733703,3-17-2025,Sessions,TX32,republican
nee,01-30-2014,3.198328936,3-17-2025,Conaway,TX11,republican
nee,01-31-2014,3.164926023,3-17-2025,Conaway,TX11,republican
klac,02-05-2014,14.714227393,3-17-2025,Clark,MA05,democrat
kmb,02-05-2014,1.380693607,3-17-2025,Clark,MA05,democrat
amgn,02-05-2014,2.75467107,3-17-2025,Clark,MA05,democrat
wmb,02-05-2014,1.4097867,3-17-2025,Flores,TX17,republican
tgt,02-05-2014,1.897584892,3-17-2025,Flores,TX17,republican
pm,02-05-2014,1.956957087,3-17-2025,Flores,TX17,republican
oke,02-05-2014,1.574869463,3-17-2025,Flores,TX17,republican
mcd,02-05-2014,3.251870058,3-17-2025,Flores,TX17,republican
ma,02-05-2014,7.304640308,3-17-2025,Flores,TX17,republican
lmt,02-05-2014,3.112241505,3-17-2025,Flores,TX17,republican
jnj,02-05-2014,1.86743813,3-17-2025,Flores,TX17,republican
intc,02-05-2014,1.093537415,3-17-2025,Flores,TX17,republican
gis,02-05-2014,1.285684122,3-17-2025,Flores,TX17,republican
lly,02-05-2014,15.672799697,3-17-2025,Flores,TX17,republican
cl,02-05-2014,1.498179411,3-17-2025,Flores,TX17,republican
adp,02-05-2014,4.503952876,3-17-2025,Flores,TX17,republican
t,02-05-2014,1.10895584,3-17-2025,Flores,TX17,republican
abt,02-05-2014,3.573314993,3-17-2025,Flores,TX17,republican
mmm,02-05-2014,1.443181818,3-17-2025,Flores,TX17,republican
gild,02-06-2014,1.469281046,3-17-2025,Smith,TX21,republican
fast,02-06-2014,1.71319053,3-17-2025,Smith,TX21,republican
kmi,02-07-2014,0.780817888,3-17-2025,Flores,TX17,republican
fosl,02-10-2014,0.01426087,3-17-2025,Smith,TX21,republican
pg,02-18-2014,2.162241888,3-17-2025,Slaughter,NY25,democrat
wec,02-20-2014,2.394850763,3-17-2025,Clark,MA05,democrat
amgn,02-20-2014,2.566847518,3-17-2025,Clark,MA05,democrat
wfc,02-21-2014,1.501315789,3-17-2025,Fitzpatrick,PA08,republican
td,02-21-2014,1.291890681,3-17-2025,Fitzpatrick,PA08,republican
cvx,02-21-2014,1.413649272,3-17-2025,Fitzpatrick,PA08,republican
mro,02-21-2014,0.858388455,3-17-2025,Hanna,NY22,republican
gild,02-21-2014,1.360939581,3-17-2025,Hanna,NY22,republican
