country,name,full_name,,,id,,tag
argentina,Argentina 1Y,Argentina 1-Year,,,950987,,argentina-1-year
argentina,Argentina 3Y,Argentina 3-Year,,,23958,,argentina-3-year-bond-yield
argentina,Argentina 5Y,Argentina 5 Year,,,1141783,,argentina-5-year
argentina,Argentina 9Y,Argentina 9-Year,,,1052503,,argentina-9-year
australia,Australia 30Y,Australia 30-Year,,,1052473,,australia-30-year
australia,Australia 20Y,Australia 20-Year,,,1052472,,australia-20-year
australia,Australia 15Y,Australia 15-Year,,,23880,,australia-15-year-bond-yield
australia,Australia 12Y,Australia 12-Year,,,23879,,australia-12-year-bond-yield
australia,Australia 10Y,Australia 10-Year,,,23878,,australia-10-year-bond-yield
australia,Australia 8Y,Australia 8-Year,,,23876,,australia-8-year-bond-yield
australia,Australia 9Y,Australia 9-Year,,,23877,,australia-9-year-bond-yield
australia,Australia 6Y,Australia 6-Year,,,23874,,australia-6-year-bond-yield
australia,Australia 5Y,Australia 5-Year,,,23873,,australia-5-year-bond-yield
australia,Australia 4Y,Australia 4-Year,,,23872,,australia-4-year-bond-yield
australia,Australia 3Y,Australia 3-Year,,,23871,,australia-3-year-bond-yield
australia,Australia 2Y,Australia 2-Year,,,23870,,australia-2-year-bond-yield
australia,Australia 1Y,Australia 1-Year,,,23869,,australia-1-year-bond-yield
australia,Australia 7Y,Australia 7-Year,,,23875,,australia-7-year-bond-yield
austria,Austria 10Y,Austria 10-Year,,,23862,,austria-10-year-bond-yield
austria,Austria 50Y,Austria 50-Year,,,23865,,austria-50-year-bond-yield
austria,Austria 30Y,Austria 30-Year,,,1052399,,austria-30-year
austria,Austria 25Y,Austria 25-Year,,,23864,,austria-25-year-bond-yield
austria,Austria 20Y,Austria 20-Year,,,23861,,austria-9-year-bond-yield
austria,Austria 15Y,Austria 15-Year,,,23863,,austria-15-year-bond-yield
austria,Austria 9Y,Austria 9-Year,,,1052471,,austria-9-year
austria,Austria 3Y,Austria 3-Year,,,23855,,austria-3-year-bond-yield
austria,Austria 7Y,Austria 7-Year,,,23859,,austria-7-year-bond-yield
austria,Austria 6Y,Austria 6-Year,,,23858,,austria-6-year-bond-yield
austria,Austria 5Y,Austria 5-Year,,,23857,,austria-5-year-bond-yield
austria,Austria 4Y,Austria 4-Year,,,23856,,austria-4-year-bond-yield
austria,Austria 2Y,Austria 2-Year,,,23854,,austria-2-year-bond-yield
austria,Austria 1Y,Austria 1-Year,,,23853,,austria-1-year-bond-yield
austria,Austria 8Y,Austria 8-Year,,,23860,,austria-8-year-bond-yield
bahrain,Bahrain 3M,Bahrain 3-Month,,,1052506,,bahrain-3-month
bahrain,Bahrain 6M,Bahrain 6-Month,,,1052508,,bahrain-6-month
bahrain,Bahrain 9M,Bahrain 9-Month,,,1052509,,bahrain-9-month
bahrain,Bahrain 1Y,Bahrain 1-Year,,,1052504,,bahrain-1-year
bahrain,Bahrain 2Y,Bahrain 2-Year,,,1052505,,bahrain-2-year
