country,name,full_name,symbol,,id,,tag
france,BNP Gold 31Dec99,BNP Paribas Arbitrage Issuance BV ZT Gold 31Dec99,NL0006454928,,1117224,,bnp-gold-31dec99
france,SG ZT SILVER X5 SHO 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER X5 SHO 31Dec99,FR0011815075,,1117389,,sg-zt-silver-x5-sho-31dec99
france,SG BERKSHIRE HATHA ORD CL A 31Dec99,Societe Generale Effekten GMBH ZT BERKSHIRE HATHA ORD CL A 31Dec99,FR0010681528,,1117390,,sg-berkshire-hatha-ord-cl-a-31dec99
france,SG Call 23.4 EUR FAURECIA 31Dec99,SG ISSUER Call 23.4 EUR FAURECIA 31Dec99,LU1248646314,,1117363,,sg-call-23.4-eur-faurecia-31dec99
france,SG Call 13 EUR ORANGE 31Dec99,SG ISSUER Call 13 EUR ORANGE 31Dec99,LU1428373747,,1117360,,sg-call-13-eur-orange-31dec99
france,SG Call 150.8 EUR LOREAL 31Dec99,SG ISSUER Call 150.8 EUR L`OREAL 31Dec99,LU1358280920,,1117361,,sg-call-150.8-eur-loreal-31dec99
france,ING Call 53.48 IPE BRENT 1217,ING BANK N.V. Call 53.48 EUR IPE BRENT 12/17 31Dec99,NL0012080717,,1117345,,ing-call-53.48-ipe-brent-1217
france,ING Call 24.8 EUR SG 31Dec99,ING BANK N.V. Call 24.8 EUR SOCIETE GENERALE 31Dec99,NL0010360616,,1117333,,ing-call-24.8-eur-sg-31dec99
france,ING Call 29.1 NYMEX LS CRUDE 0416,ING BANK N.V. Call 29.1 EUR NYMEX LS CRUDE 04/16 31Dec99,NL0011619317,,1117334,,ing-call-29.1-nymex-ls-crude-0416
france,ING Call 29.29 ICE BRENT 0416,ING BANK N.V. Call 29.29 EUR ICE BRENT 04/16 31Dec99,NL0011493028,,1117335,,ing-call-29.29-ice-brent-0416
france,ING Call 33 ICE BRENT 05/16 31Dec99,ING BANK N.V. Call 33 EUR ICE BRENT 05/16 31Dec99,NL0011621024,,1117336,,ing-call-33-ice-brent-05-16-31dec99
france,SG ZT SILVER X5 LEV 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER X5 LEV 31Dec99,FR0011815067,,1117388,,sg-zt-silver-x5-lev-31dec99
france,ING Call 33.95 ICE BRENT 0516,ING BANK N.V. Call 33.95 EUR ICE BRENT 05/16 31Dec99,NL0011622782,,1117338,,ing-call-33.95-ice-brent-0516
france,ING Call 48 ICE BRENT 10/17 31Dec99,ING BANK N.V. Call 48 EUR ICE BRENT 10/17 31Dec99,NL0012077226,,1117340,,ing-call-48-ice-brent-10-17-31dec99
france,ING Call 48.65 ICE BRENT 1017,ING BANK N.V. Call 48.65 EUR ICE BRENT 10/17 31Dec99,NL0012076772,,1117341,,ing-call-48.65-ice-brent-1017
france,ING Call 49.9 ICE BRENT 1017,ING BANK N.V. Call 49.9 EUR ICE BRENT 10/17 31Dec99,NL0012077291,,1117342,,ing-call-49.9-ice-brent-1017
france,ING Call 51.09 ICE BRENT 1117,ING BANK N.V. Call 51.09 EUR ICE BRENT 11/17 31Dec99,NL0012079289,,1117343,,ing-call-51.09-ice-brent-1117
france,ING Call 52.4 ICE BRENT 1117,ING BANK N.V. Call 52.4 EUR ICE BRENT 11/17 31Dec99,NL0012079883,,1117344,,ing-call-52.4-ice-brent-1117
france,ING Call 54.87 IPE BRENT 1217,ING BANK N.V. Call 54.87 EUR IPE BRENT 12/17 31Dec99,NL0012461784,,1117346,,ing-call-54.87-ipe-brent-1217
france,SG ZT Ubs-Ib Zur 31Dec99,Societe Generale Effekten GMBH ZT Ubs-Ib Zur 31Dec99,FR0010638494,,1117392,,sg-zt-ubs-ib-zur-31dec99
france,ING Call 55.4 ICE BRENT 1217,ING BANK N.V. Call 55.4 EUR ICE BRENT 12/17 31Dec99,NL0012463434,,1117347,,ing-call-55.4-ice-brent-1217
france,ING Call 57.96 ICE BRENT 0118,ING BANK N.V. Call 57.96 EUR ICE BRENT 01/18 31Dec99,NL0012464275,,1117348,,ing-call-57.96-ice-brent-0118
france,ING Call 725 EUR PLATINUM 31Dec99,ING BANK N.V. Call 725 EUR PLATINUM 31Dec99,NL0012823603,,1117349,,ing-call-725-eur-platinum-31dec99
france,ING Call 34.81 ICE BRENT 0516,ING BANK N.V. Call 34.81 EUR ICE BRENT 05/16 31Dec99,NL0011623145,,1117339,,ing-call-34.81-ice-brent-0516
france,SG ZT SILVER 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER 31Dec99,FR0012468098,,1117387,,sg-zt-silver-31dec99
france,ING Call 33.7 BNP PARIBAS 31Dec99,ING BANK N.V. Call 33.7 EUR BNP PARIBAS 31Dec99,NL0010206686,,1117337,,ing-call-33.7-bnp-paribas-31dec99
