united states,tag,,,currency,id,,symbol
united states,bitcoin,,,USD,1057391,,BTC
united states,ethereum,,,USD,1061443,,ETH
united states,binance-coin,,,USD,1061448,,BNB
united states,tether,,,USD,1061453,,USDT
united states,cardano,,,USD,1062537,,ADA
united states,polkadot-new,,,USD,1165465,,DOT
united states,xrp,,,USD,1057392,,XRP
united states,uniswap,,,USD,1167226,,UNI
united states,litecoin,,,USD,1061445,,LTC
united states,chainlink,,,USD,1061794,,LINK
united states,theta,,,USD,1062054,,THETA
united states,usd-coin,,,USD,1114630,,USDC
united states,bitcoin-cash,,,USD,1061410,,BCH
united states,stellar,,,USD,1061451,,XLM
united states,terra-luna,,,USD,1170319,,LUNA
united states,wrapped-bitcoin,,,USD,1167348,,WBTC
united states,dogecoin,,,USD,1061477,,DOGE
united states,vechain,,,USD,1061537,,VET
united states,crypto-com-coin,,,USD,1117862,,CRO
united states,filecoin,,,USD,1061489,,FIL
united states,aave,,,USD,1061509,,AAVE
united states,tron,,,USD,1061450,,TRX
united states,iota,,,USD,1061449,,MIOTA
united states,cosmos,,,USD,1130959,,ATOM
united states,solana,,,USD,1161528,,SOL
united states,eos,,,USD,1061444,,EOS
united states,avalanche,,,USD,1168373,,AVAX
united states,monero,,,USD,1061467,,XMR
united states,bitcoin-sv,,,USD,1099037,,BSV
united states,kusama,,,USD,1167220,,KSM
united states,ftx-token,,,USD,1156074,,FTT
united states,tezos,,,USD,1061796,,XTZ
united states,nem,,,USD,1061476,,XEM
united states,,,,,,,BUSD
united states,bittorrent,,,USD,1138414,,BTT
united states,algorand,,,USD,1142181,,ALGO
united states,neo,,,USD,1061409,,NEO
united states,chiliz,,,USD,1152984,,CHZ
united states,multi-collateral-dai,,,USD,1061777,,DAI
united states,,,,,,,CVNT
united states,huobi-token,,,USD,1094137,,HT
united states,hedera-hashgraph,,,USD,1153127,,HBAR
united states,elrond-egld,,,USD,1163305,,EGLD
united states,sushiswap,,,USD,1168117,,SUSHI
united states,synthetix-network-token,,,USD,1155630,,SNX
united states,dash,,,USD,1061456,,DASH
united states,theta-fuel,,,USD,1138421,,TFUEL
united states,unus-sed-leo,,,USD,1138417,,LEO
united states,the-graph,,,USD,1168375,,GRT
united states,decred,,,USD,1066626,,DCR
united states,maker,,,USD,1061538,,MKR
united states,zilliqa,,,USD,1066743,,ZIL
united states,compound,,,USD,1165344,,COMP
united states,polygon,,,USD,1138411,,MATIC
united states,near-protocol,,,USD,1170217,,NEAR
united states,enjin-coin,,,USD,1061824,,ENJ
united states,ravencoin,,,USD,1094142,,RVN
united states,basic-attention-token,,,USD,1061774,,BAT
united states,pundi-x,,,USD,1094135,,NPXS
united states,zcash,,,USD,1061465,,ZEC
united states,pancakeswap,,,USD,1170085,,CAKE
united states,,,,,,,OMI
united states,harmony,,,USD,1137531,,ONE
united states,,,,,,,HBTC
united states,decentraland,,,USD,1061831,,MANA
united states,nexo,,,USD,1094146,,NEXO
united states,,,,,,,STX
united states,uma,,,USD,1167228,,UMA
united states,ethereum-classic,,,USD,1057275,,ETC
united states,,,,,,,BTCB
united states,,,,,,,UST
united states,bancor,,,USD,1061523,,BNT
united states,swissborg,,,USD,1156714,,CHSB
united states,thorchain,,,USD,1165352,,RUNE
united states,yearn-finance,,,USD,1167224,,YFI
united states,holo,,,USD,1081646,,HOT
united states,reserve-rights,,,USD,1169559,,RSR
united states,icon,,,USD,1061807,,ICX
united states,celsius,,,USD,1089375,,CEL
united states,0x,,,USD,1061803,,ZRX
united states,waves,,,USD,1061519,,WAVES
united states,fantom,,,USD,1155566,,FTM
united states,ren,,,USD,1094111,,REN
united states,siacoin,,,USD,1066618,,SC
united states,revain,,,USD,1066651,,REV
united states,voyager-token,,,USD,1061884,,VGX
united states,ontology,,,USD,1075377,,ONT
united states,digibyte,,,USD,1061782,,DGB
united states,dent,,,USD,1066652,,DENT
united states,,,,,,,FLOW
united states,okb,,,USD,1167222,,OKB
united states,iostoken,,,USD,1062033,,IOST
united states,omg,,,USD,1061446,,OMG
united states,,,,,,,TTT
united states,paxos-standard,,,USD,1115718,,PAX
united states,celo,,,USD,1169555,,CELO
united states,,,,,,,RENBTC
united states,,,,,,,AR
united states,1inch,,,USD,1169557,,1INCH
united states,nano,,,USD,1066647,,NANO
united states,nano,,,USD,1066647,,NANO
united states,qtum,,,USD,1061464,,QTUM
united states,loopring,,,USD,1061482,,LRC
united states,,,,,,,HNT
united states,ocean-protocol,,,USD,1167218,,OCEAN
united states,curve-dao-token,,,USD,1169561,,CRV
united states,,,,,,,CFX
united states,,,,,,,VTHO
united states,kyber-network,,,USD,1061801,,KNC
united states,horizen,,,USD,1066643,,ZEN
united states,mvl,,,USD,1089406,,MVL
united states,,,,,,,CKB
united states,,,,,,,HUSD
united states,,,,,,,ORN
united states,bitcoin-gold,,,USD,1061452,,BTG
united states,lisk,,,USD,1061838,,LSK
united states,verge,,,USD,1061531,,XVG
united states,fetch,,,USD,1142591,,FET
united states,,,,,,,ORC
united states,,,,,,,ZKS
united states,energy-web-token,,,USD,1171233,,EWT
united states,quant,,,USD,1117861,,QNT
united states,ankr,,,USD,1165346,,ANKR
united states,,,,,,,LINA
united states,golem-network-tokens,,,USD,1061521,,GLM
united states,,,,,,,KLV
united states,,,,,,,LPT
united states,,,,,,,SKL
united states,bitpanda-ecosystem-token,,,USD,1159468,,BEST
united states,electroneum,,,USD,1061490,,ETN
united states,,,,,,,ALPHA
united states,,,,,,,ORBS
united states,celer-network,,,USD,1141870,,CELR
united states,stormx,,,USD,1064946,,STMX
united states,augur,,,USD,1061481,,REP
united states,mixin,,,USD,1071795,,XIN
united states,,,,,,,REEF
united states,,,,,,,NXM
united states,iotex,,,USD,1081594,,IOTX
united states,,,,,,,KCS
united states,venus,,,USD,1170468,,XVS
united states,funfair,,,USD,1061783,,FUN
united states,status,,,USD,1061495,,SNT
united states,,,,,,,SAND
united states,,,,,,,SFP
united states,,,,,,,BAL
united states,,,,,,,DODO
united states,,,,,,,RFOX
united states,wax,,,USD,1066698,,WAXP
united states,,,,,,,MIR
united states,telcoin,,,USD,1066749,,TEL
united states,kin,,,USD,1066655,,KIN
united states,,,,,,,KEEP
united states,coti,,,USD,1159453,,COTI
united states,blockstack,,,USD,1159393,,STX
united states,,,,,,,BADGER
united states,kava,,,USD,1163451,,KAVA
united states,polymath-network,,,USD,1062867,,POLY
united states,swipe,,,USD,1153119,,SXP
united states,maidsafecoin,,,USD,1061775,,MAID
united states,,,,,,,ANC
united states,,,,,,,MATH
united states,,,,,,,STETH
united states,,,,,,,SUPER
united states,civic,,,USD,1061792,,CVC
united states,,,,,,,GNY
united states,,,,,,,IQ
united states,trueusd,,,USD,1094123,,TUSD
united states,band-protocol,,,USD,1162249,,BAND
united states,ardor,,,USD,1066631,,ARDR
united states,steem,,,USD,1066620,,STEEM
united states,orchid,,,USD,1165457,,OXT
united states,aragon,,,USD,1061805,,ANT
united states,,,,,,,ROSE
united states,,,,,,,HTR
united states,quarkchain,,,USD,1094200,,QKC
united states,,,,,,,META
united states,,,,,,,AMP
united states,,,,,,,BORA
united states,origintrail,,,USD,1094112,,TRAC
united states,utrust,,,USD,1066740,,UTK
united states,serum,,,USD,1165355,,SRM
united states,,,,,,,NU
united states,,,,,,,SWAP
united states,medibloc,,,USD,1057909,,MED
united states,mainframe,,,USD,1094108,,MFT
united states,storj,,,USD,1061814,,STORJ
united states,,,,,,,POLS
united states,origin-protocol,,,USD,1159451,,OGN
united states,bitshares,,,USD,1066619,,BTS
united states,numeraire,,,USD,1071193,,NMR
united states,,,,,,,AVA
united states,komodo,,,USD,1066628,,KMD
united states,bitcoin-diamond,,,USD,1061454,,BCD
united states,,,,,,,vBTC
united states,,,,,,,VLX
united states,ampleforth,,,USD,1165462,,AMPL
united states,,,,,,,EDG
united states,,,,,,,BETR
