country,name,full_name,,tag,id,isin,symbol,currency,stock_exchange,def_stock_exchange
australia,Australian High Interest Cash,Australian High Interest Cash,,betashares-aus-high-interest-cash,38946,AU000000AAA3,AAA,AUD,Sydney,TRUE
australia,VanEck Vectors MSCI International Sustainable Equi,VanEck Vectors MSCI International Sustainable Equity,,vaneck-vectors-msci-intl-sstnbl-eq,1072346,AU0000001356,ESGI,AUD,Sydney,TRUE
australia,BetaShares Australian Equities Strong Bear Hedge,BetaShares Australian Equities Strong Bear Hedge,,betashares-australian-equities-stro,959566,AU00000BBOZ2,BBOZ,AUD,Sydney,TRUE
australia,BetaShares Gold Bullion,BetaShares Gold Bullion Currency Hedged,,betashares-gold,37457,AU000000QAU7,QAU,AUD,Sydney,TRUE
australia,Vanguard Australian Shares,Vanguard Australian Shares,,vanguard-aus.-shares-index,38967,AU000000VAS1,VAS,AUD,Sydney,TRUE
australia,Betashares Active Australian Hybrids,Betashares Active Australian Hybrids,,betashares-active-aust-hybrids,1055270,AU00000HBRD9,HBRD,AUD,Sydney,TRUE
australia,Montgomery Global Equities Fund,Montgomery Global Equities Fund,,montgomery-global-eqt-fd,1057219,AU00000MOGL8,MOGL,AUD,Sydney,TRUE
australia,iShares S&P/ASX Dividend Opportunities,iShares S&P/ASX Dividend Opportunities,,ishares-s-p-asx-high-dividend,38954,AU000000IHD5,IHD,AUD,Sydney,TRUE
australia,VanEck Vectors FTSE Global Infrastructure,VanEck Vectors FTSE Global Infrastructure,,vaneck-vectors-ftse-global-infrastr,1050173,AU00000IFRA4,IFRA,AUD,Sydney,TRUE
australia,WCM Quality Global Growth,WCM Quality Global Growth,,wcm-quality-global-growth,1096101,AU0000018103,WCMQ,AUD,Sydney,TRUE
australia,Vanguard Australian Government Bond,Vanguard Australian Government Bond,,vanguard-aus.-govt-bond-index,38968,AU000000VGB4,VGB,AUD,Sydney,TRUE
australia,Betashares U.S. Equities Strong Bear Currency Hedg,Betashares U.S. Equities Strong Bear Currency Hedged,,betashares-us-equities-strong-bear,959570,AU00000BBUS4,BBUS,AUD,Sydney,TRUE
australia,Ishares Core S&P/Asx 200,Ishares Core S&P/Asx 200,,ishares-msci-aus200,47715,AU000000IOZ4,IOZ,AUD,Sydney,TRUE
australia,ANZ SP ASX 300 High Yield Plus,ANZ S&P/ASX 300 High Yield Plus,,anz-sp-asx-300-high-yield-plus,956402,AU00000ZYAU3,ZYAU,AUD,Sydney,TRUE
australia,BetaShares Australian Top 20 Equity Yield Maximise,BetaShares Australian Top 20 Equity Yield Maximiser,,betashares-australian-top-20-equity,953165,AU00000YMAX5,YMAX,AUD,Sydney,TRUE
australia,VanEck Vectors Australian Equal Weight,VanEck Vectors Australian Equal Weight,,market-vectors-australian-equal-wei,953173,AU000000MVW8,MVW,AUD,Sydney,TRUE
australia,VanEck Vectors MSCI World ex Australia Quality Hed,VanEck Vectors MSCI World ex Australia Quality (Hedged) ETF,,vaneckvectors-msciworld-x-au-q-hdgd,1128756,AU0000041204,QHAL,AUD,Sydney,TRUE
