country,name,full_name,tag,,id,currency,symbol,market
argentina,S&P Merval,S&P Merval,merv,,13376,ARS,MERV,world_indices
argentina,BNY Mellon Argentina ADR TR,BNY Mellon Argentina ADR Total Return,bny-argentina-adr-tr,,956016,USD,BKART,global_indices
argentina,BNY Mellon Argentina ADR,BNY Mellon Argentina ADR,bny-argentina-adr,,955998,USD,BKAR,global_indices
argentina,MAE Fixed Income,MAE Fixed Income,mae-fixed-income,,49609,ARS,MAEFI,world_indices
argentina,S&P/BYMA Argentina General,S&P/BYMA Argentina General,ibg,,13317,ARS,IBG,world_indices
argentina,S&P Merval Argentina,S&P Merval Argentina,mar,,13374,ARS,MAR,world_indices
argentina,S&P/BYMA Utilities,S&P/BYMA Argentina General Utilities,sp-byma-utilities,,1142375,ARS,SPBYMAIG55,world_indices
argentina,S&P/BYMA Real Estate,S&P/BYMA Argentina General Real Estate,sp-byma-real-estate,,1142376,ARS,SPBYMAIG60,world_indices
argentina,MSCI Argentina,MSCI Argentina,msci-argentina,,942930,USD,MIAR00000PUS,global_indices
argentina,S&P/BYMA Industrials,S&P/BYMA Argentina General Industrials,sp-byma-industrials,,1142370,ARS,SPBYMAIG20,world_indices
argentina,S&P/BYMA Financials,S&P/BYMA Argentina General Financials,sp-byma-financials,,1142373,ARS,SPBYMAIG40,world_indices
argentina,S&P/BYMA Energy,S&P/BYMA Argentina General Energy,sp-byma-energy,,1142368,ARS,SPBYMAIG10,world_indices
argentina,S&P/BYMA Consumer Staples,S&P/BYMA Argentina General Consumer Staples,sp-byma-consumer-staples,,1142372,ARS,SPBYMAIG30,world_indices
argentina,S&P/BYMA Communication Services,S&P/BYMA Argentina General Communication Services,sp-byma-communication-services,,1142374,ARS,SPBYMAIG50,world_indices
argentina,S&P/BYMA Consumer Discretionary,S&P/BYMA Argentina General Consumer Discretionary,sp-byma-consumer-discretionary,,1142371,ARS,SPBYMAIG25,world_indices
argentina,S&P/BYMA Materials,S&P/BYMA Argentina General Materials,sp-byma-materials,,1142369,ARS,SPBYMAIG15,world_indices
australia,S&P ASX Financials x a r Accum,S&P ASX Financials x a r Accumulated,s-p-asx-financials-x-a-r-accum,,985322,AUD,AXXJA,world_indices
australia,SP/ASX 100 Accum,S&P/ASX 100 Accumulated,sp-asx-100-accum,,985316,AUD,ATOIA,world_indices
australia,SP/ASX 20 Accum,S&P/ASX 20 Accumulated,sp-asx-20-accum,,985315,AUD,ATLIA,world_indices
australia,S&P/ASX 200 A Reit Equal Weight,S&P/ASX 200 A Reit Equal Weight,sp-asx200-a-reit-equal-weight,,1129070,AUD,AXAE,world_indices
australia,S&P/ASX 200 Equal Weight,S&P/ASX 200 Equal Weight,sp-asx-200-equal-weight,,1129098,AUD,AXEW,world_indices
australia,S&P/ASX 200 Net Total Return,S&P/ASX 200 Net Total Return,s-p-asx-200-net-total-return,,14518,AUD,AXNT,world_indices
australia,S&P/ASX 200 Real Inverse Daily,S&P/ASX 200 Real Inverse Daily,sp-asx-200-real-inverse-daily,,1129097,AUD,AXIN,world_indices
australia,S&P/ASX 200 VIX,S&P/ASX 200 VIX,s-p-asx-200-vix,,40831,AUD,AXVI,world_indices
australia,S&P/ASX Buy Write,S&P/ASX Buy Write,s-p-asx-buy-write,,40832,AUD,AXBW,world_indices
australia,SP/ASX 50 Accum,S&P/ASX 50 Accumulated,sp-asx-50-accum,,985314,AUD,AFLIA,world_indices
australia,S&P ASX Dividend Opportunities Accum,S&P ASX Dividend Opportunities Accumulated,s-p-asx-dividend-opportunities-accu,,985317,AUD,AXDIA,world_indices
australia,S&P/ASX Dividend Opportunities,S&P/ASX Dividend Opportunities,s-p-asx-dividend-opportunities,,40871,AUD,AXDI,world_indices
australia,S&P/ASX Emerging Companies,S&P/ASX Emerging Companies,s-p-asx-emerging-companies,,40862,AUD,AXEC,world_indices
australia,S&P/ASX Financials ex REIT,S&P/ASX Financials ex REIT,s-p-asx-200-fin-x-a-reit,,14515,AUD,AXXJ,world_indices
australia,S&P/ASX Franked Dividend,S&P/ASX Franked Dividend,sp-asx-franked-dividend,,1129096,AUD,AXFT,world_indices
