Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.375,7.375,7.25,7.25,4.451577186584473,20800
1994-02-23,7.125,7.125,6.75,6.9375,4.25969934463501,31600
1994-02-24,6.9375,6.9375,6.8125,6.8125,4.182948589324951,32000
1994-02-25,6.6875,6.6875,6.25,6.4375,3.9526937007904053,49800
1994-02-28,6.5,6.75,6.4375,6.625,4.067820072174072,170400
1994-03-01,6.625,6.625,6.5,6.5625,4.029443740844727,41600
1994-03-02,6.4375,6.5625,6.4375,6.5625,4.029443740844727,67000
1994-03-03,6.625,6.625,6.5,6.5,3.9910709857940674,27800
1994-03-04,6.5,6.75,6.4375,6.75,4.144571781158447,358200
1994-03-07,6.4375,6.8125,6.4375,6.75,4.144571781158447,690800
1994-03-08,6.75,6.8125,6.75,6.8125,4.182948589324951,515200
1994-03-09,6.8125,6.875,6.8125,6.875,4.221324443817139,540400
1994-03-10,6.875,6.875,6.8125,6.875,4.221324443817139,1832200
1994-03-11,6.9375,7.1875,6.9375,7.1875,4.413204669952393,1895400
1994-03-14,7.1875,7.625,7.1875,7.5625,4.643454074859619,1413800
1994-03-15,7.5625,7.6875,7.4375,7.4375,4.56670618057251,1665200
1994-03-16,7.4375,7.4375,7.3125,7.4375,4.56670618057251,717000
1994-03-17,7.4375,7.6875,7.4375,7.5625,4.659115791320801,971200
1994-03-18,7.625,7.6875,7.625,7.625,4.697619915008545,1178000
1994-03-21,7.625,7.6875,7.625,7.6875,4.7361273765563965,659400
1994-03-22,7.6875,7.875,7.6875,7.8125,4.813136100769043,374000
1994-03-23,7.8125,7.9375,7.75,7.875,4.851643085479736,430200
1994-03-24,7.8125,7.875,7.75,7.75,4.774631500244141,747000
1994-03-25,7.8125,7.8125,7.625,7.6875,4.7361273765563965,370000
1994-03-28,7.6875,7.6875,7.625,7.625,4.697619915008545,1116200
1994-03-29,7.625,7.6875,7.5,7.5,4.620610237121582,595800
1994-03-30,7.5,7.5,7.3125,7.375,4.543601989746094,653000
1994-03-31,7.375,7.4375,7.25,7.375,4.543601989746094,448400
1994-04-04,7.125,7.375,7.125,7.375,4.543601989746094,386600
1994-04-05,7.3125,7.6875,7.3125,7.625,4.697619915008545,361600
1994-04-06,7.625,7.6875,7.375,7.375,4.543601989746094,551400
1994-04-07,7.5,7.5,7.375,7.4375,4.582106113433838,338400
1994-04-08,7.3125,7.5,7.3125,7.5,4.620610237121582,166000
1994-04-11,7.5,7.625,7.25,7.25,4.46658992767334,424800
1994-04-12,7.125,7.25,7.125,7.125,4.38958215713501,602800
1994-04-13,7.125,7.3125,7.0,7.0,4.312570095062256,504600
1994-04-14,7.0625,7.0625,6.9375,6.9375,4.274065017700195,378200
1994-04-15,6.875,7.0625,6.875,6.875,4.235559463500977,197600
1994-04-18,7.0,7.25,7.0,7.25,4.46658992767334,184800
1994-04-19,7.1875,7.3125,7.1875,7.25,4.46658992767334,122200
1994-04-20,7.3125,7.3125,7.125,7.125,4.38958215713501,201400
1994-04-21,7.125,7.3125,6.875,6.875,4.235559463500977,858200
1994-04-22,7.0,7.25,7.0,7.25,4.46658992767334,411400
1994-04-25,7.1875,7.625,7.1875,7.625,4.697619915008545,330600
1994-04-26,7.5625,7.5625,7.25,7.375,4.543601989746094,313400
1994-04-28,7.3125,7.3125,7.125,7.3125,4.5050950050354,161600
1994-04-29,7.25,7.3125,7.1875,7.25,4.46658992767334,344600
1994-05-02,7.1875,7.3125,7.0625,7.1875,4.4280877113342285,135800
1994-05-03,7.25,7.4375,7.125,7.1875,4.4280877113342285,375200
1994-05-04,7.125,7.375,7.125,7.3125,4.5050950050354,491800
1994-05-05,7.3125,7.3125,7.1875,7.25,4.46658992767334,152800
1994-05-06,7.25,7.3125,7.25,7.25,4.46658992767334,272800
1994-05-09,7.25,7.3125,7.25,7.25,4.46658992767334,161600
1994-05-10,7.25,7.5,7.25,7.5,4.620610237121582,308200
1994-05-11,7.5,7.6875,7.5,7.5625,4.659115791320801,388600
1994-05-12,7.5,7.75,7.5,7.75,4.774631500244141,155000
1994-05-13,7.6875,7.75,7.375,7.375,4.543601989746094,105200
1994-05-16,7.375,7.5625,7.375,7.4375,4.582106113433838,206800
1994-05-17,7.5,7.5625,7.4375,7.5,4.620610237121582,422600
1994-05-18,7.5,7.5,7.4375,7.5,4.620610237121582,130800
1994-05-19,7.4375,7.625,7.375,7.5625,4.659115791320801,199400
